Country,Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Croatia,Croatia,72.7,70.68,68.66,66.64,64.62,62.6,60.94,59.28,57.62,55.96,54.3,52.82,51.34,49.86,48.38,46.9,45.32,43.74,42.16,40.58,39.0,37.74,36.48,35.22,33.96,32.7,31.8,30.9,30.0,29.1,28.2,27.54,26.88,26.22,25.56,24.9,24.48,24.06,23.64,23.22,22.8,22.62,22.44,22.26,22.08,21.9,21.8,21.7,21.6,21.5,21.4,20.06,18.72,17.38,16.04,14.7
Cuba,Cuba,92.0,91.08,90.16,89.24,88.32,87.4,86.56,85.72,84.88,84.04,83.2,82.46,81.72,80.98,80.24,79.5,78.68,77.86,77.04,76.22,75.4,74.58,73.76,72.94,72.12,71.3,70.52,69.74,68.96,68.18,67.4,66.6,65.8,65.0,64.2,63.4,62.54,61.68,60.82,59.96,59.1,57.08,55.06,53.04,51.02,49.0,46.96,44.92,42.88,40.84,38.8,36.78,34.76,32.74,30.72,28.7
Curaçao,Curaçao,93.3,92.56,91.82,91.08,90.34,89.6,88.58,87.56,86.54,85.52,84.5,83.54,82.58,81.62,80.66,79.7,79.14,78.58,78.02,77.46,76.9,76.22,75.54,74.86,74.18,73.5,72.82,72.14,71.46,70.78,70.1,69.48,68.86,68.24,67.62,67.0,66.44,65.88,65.32,64.76,64.2,63.74,63.28,62.82,62.36,61.9,61.62,61.34,61.06,60.78,60.5,57.42,54.34,51.26,48.18,45.1
Cyprus,Cyprus,87.7,85.88,84.06,82.24,80.42,78.6,76.38,74.16,71.94,69.72,67.5,65.08,62.66,60.24,57.82,55.4,53.18,50.96,48.74,46.52,44.3,42.68,41.06,39.44,37.82,36.2,35.1,34.0,32.9,31.8,30.7,29.78,28.86,27.94,27.02,26.1,25.4,24.7,24.0,23.3,22.6,22.12,21.64,21.16,20.68,20.2,19.88,19.56,19.24,18.92,18.6,17.56,16.52,15.48,14.44,13.4
Czech Republic,Czech Republic,54.0,52.94,51.88,50.82,49.76,48.7,47.92,47.14,46.36,45.58,44.8,44.12,43.44,42.76,42.08,41.4,40.5,39.6,38.7,37.8,36.9,36.42,35.94,35.46,34.98,34.5,34.28,34.06,33.84,33.62,33.4,33.18,32.96,32.74,32.52,32.3,31.96,31.62,31.28,30.94,30.6,30.22,29.84,29.46,29.08,28.7,28.36,28.02,27.68,27.34,27.0,25.24,23.48,21.72,19.96,18.2
North Korea,Democratic People's Republic of Korea,37.8,35.32,32.84,30.36,27.88,25.4,22.4,19.4,16.4,13.4,10.4,8.68,6.96,5.24,3.52,1.8,1.46,1.12,0.78,0.44,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.06,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Congo, Dem. Rep.",Democratic Republic of the Congo,99.9,99.88,99.86,99.84,99.82,99.8,99.74,99.68,99.62,99.56,99.5,99.56,99.62,99.68,99.74,99.8,99.76,99.72,99.68,99.64,99.6,99.5,99.4,99.3,99.2,99.1,98.76,98.42,98.08,97.74,97.4,96.9,96.4,95.9,95.4,94.9,94.46,94.02,93.58,93.14,92.7,92.34,91.98,91.62,91.26,90.9,90.28,89.66,89.04,88.42,87.8,86.8,85.8,84.8,83.8,82.8
Denmark,Denmark,74.1,73.14,72.18,71.22,70.26,69.3,68.5,67.7,66.9,66.1,65.3,64.64,63.98,63.32,62.66,62.0,61.18,60.36,59.54,58.72,57.9,57.22,56.54,55.86,55.18,54.5,54.14,53.78,53.42,53.06,52.7,52.4,52.1,51.8,51.5,51.2,50.82,50.44,50.06,49.68,49.3,48.8,48.3,47.8,47.3,46.8,46.04,45.28,44.52,43.76,43.0,40.46,37.92,35.38,32.84,30.3
Djibouti,Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.28,32.56,48.84,65.12,81.4
Dominican Republic,Dominican Republic,98.5,98.3,98.1,97.9,97.7,97.5,97.12,96.74,96.36,95.98,95.6,95.02,94.44,93.86,93.28,92.7,91.76,90.82,89.88,88.94,88.0,86.76,85.52,84.28,83.04,81.8,80.3,78.8,77.3,75.8,74.3,72.6,70.9,69.2,67.5,65.8,64.2,62.6,61.0,59.4,57.8,56.46,55.12,53.78,52.44,51.1,49.92,48.74,47.56,46.38,45.2,43.88,42.56,41.24,39.92,38.6
